trial_id,condition,duration_sec,mean_path_error,median_path_error,p90_path_error,progress_angle_mean,progress_angle_median,progress_angle_p90,reference_total_rotation_deg,learner_total_rotation_deg,total_rotation_error_deg
A_correct_20260903_153532_026355,A - CORRECT,4.8801,0.10548,0.10761,0.192498,1.3703,0.9245,3.7579,37.39,35.3259,2.0641
A_correct_20260903_153721_163280,A - CORRECT,5.8726,0.149121,0.085811,0.40892,2.7345,2.3382,5.5283,37.39,33.7931,3.5969
A_correct_20260903_153837_033421,A - CORRECT,5.5196,0.080423,0.060623,0.173879,6.6629,7.5446,11.6944,37.39,37.527,0.137
A_correct_20260903_153855_357959,A - CORRECT,6.2919,0.113272,0.079851,0.256717,6.7664,7.1401,11.7879,37.39,38.3066,0.9166
A_correct_20260903_153904_121013,A - CORRECT,5.4234,0.10567,0.073536,0.24485,4.6545,5.1493,8.5269,37.39,36.229,1.1611
B_path_wrong_20260903_154050_442519,B - PATH WRONG,6.9734,0.393501,0.279964,1.098463,3.9938,4.136,7.4431,37.39,32.4869,4.9031
B_path_wrong_20260903_154107_930342,B - PATH WRONG,6.513,0.589649,0.262166,1.77768,6.0499,6.6799,9.6059,37.39,26.6485,10.7416
B_path_wrong_20260903_154129_642037,B - PATH WRONG,7.5039,0.507404,0.346948,1.349677,8.9615,6.4037,18.7612,37.39,41.2901,3.9001
C_angle_wrong_20260903_154349_770521,C - ANGLE WRONG,5.2486,0.098847,0.071982,0.231068,7.0149,3.7539,17.5834,37.39,18.2468,19.1432
C_angle_wrong_20260903_154437_852133,C - ANGLE WRONG,5.0087,0.116853,0.078904,0.284959,7.395,3.9682,18.6069,37.39,16.704,20.686
