trial_id,condition,duration_sec,trial_frames,xy_dtw_total,xy_dtw_normalized,xy_warp_path_length,angle_dtw_total,angle_dtw_normalized,angle_warp_path_length,combined_dtw_total,combined_dtw_normalized,combined_warp_path_length,reference_total_rotation_deg,learner_total_rotation_deg,total_rotation_error_deg
A_correct_20260903_153532_026355,A - CORRECT,4.8801,147,15.566225,0.105893,147,47.195468,0.310497,152,5.073563,0.034281,148,37.39,35.3259,2.0641
A_correct_20260903_153721_163280,A - CORRECT,5.8726,176,26.304559,0.149458,176,69.714461,0.355686,196,10.961235,0.06228,176,37.39,33.7931,3.5969
A_correct_20260903_153837_033421,A - CORRECT,5.5196,164,13.218435,0.0806,164,57.562729,0.33082,174,11.278311,0.06877,164,37.39,37.527,0.137
A_correct_20260903_153855_357959,A - CORRECT,6.2919,188,21.319481,0.113401,188,78.56565,0.402901,195,12.56227,0.066821,188,37.39,38.3066,0.9166
A_correct_20260903_153904_121013,A - CORRECT,5.4234,163,17.348836,0.104511,166,49.432459,0.285737,173,10.643566,0.065298,163,37.39,36.229,1.1611
B_path_wrong_20260903_154050_442519,B - PATH WRONG,6.9734,208,81.939064,0.392053,209,94.949488,0.42013,226,24.172691,0.116215,208,37.39,32.4869,4.9031
B_path_wrong_20260903_154107_930342,B - PATH WRONG,6.513,195,115.847822,0.58806,197,207.900998,1.014151,205,40.683322,0.208632,195,37.39,26.6485,10.7416
B_path_wrong_20260903_154129_642037,B - PATH WRONG,7.5039,225,132.7867,0.590163,225,376.252754,1.535726,245,41.099936,0.182666,225,37.39,41.2901,3.9001
C_angle_wrong_20260903_154349_770521,C - ANGLE WRONG,5.2486,158,15.898144,0.099988,159,431.480611,2.212721,195,39.571001,0.250449,158,37.39,18.2468,19.1432
C_angle_wrong_20260903_154437_852133,C - ANGLE WRONG,5.0087,150,18.105292,0.117567,154,456.588577,2.415813,189,42.572668,0.278253,153,37.39,16.704,20.686
