trial_id,condition,duration_sec,total_frames,tracked_frames,tracking_ratio,mean_path_error,median_path_error,p90_path_error,mean_angle_error,median_angle_error,p90_angle_error,mean_speed
A_correct_20260903_153532_026355,A - CORRECT,4.8801,147,147,1.0,0.10548,0.10761,0.192498,4.8135,4.7312,6.2177,1.364062
A_correct_20260903_153721_163280,A - CORRECT,5.8726,176,176,1.0,0.149121,0.085811,0.40892,8.4782,8.5104,11.2138,1.129494
A_correct_20260903_153837_033421,A - CORRECT,5.5196,164,164,1.0,0.080423,0.060623,0.173879,10.7116,10.421,13.438,1.247498
A_correct_20260903_153855_357959,A - CORRECT,6.2919,188,188,1.0,0.113272,0.079851,0.256717,14.0809,14.1611,16.018,1.116151
A_correct_20260903_153904_121013,A - CORRECT,5.4234,163,163,1.0,0.10567,0.073536,0.24485,14.3297,14.2757,17.3705,1.284651
B_path_wrong_20260903_154050_442519,B - PATH WRONG,6.9734,208,208,1.0,0.393501,0.279964,1.098463,11.0328,11.2864,15.2121,1.204679
B_path_wrong_20260903_154107_930342,B - PATH WRONG,6.513,195,195,1.0,0.589649,0.262166,1.77768,5.2935,3.4148,11.1441,1.391924
B_path_wrong_20260903_154129_642037,B - PATH WRONG,7.5039,225,225,1.0,0.507404,0.346948,1.349677,13.648,14.1281,17.1011,1.931413
C_angle_wrong_20260903_154349_770521,C - ANGLE WRONG,5.2486,158,158,1.0,0.098847,0.071982,0.231068,7.3907,7.551,11.681,1.240932
C_angle_wrong_20260903_154437_852133,C - ANGLE WRONG,5.0087,150,150,1.0,0.116853,0.078904,0.284959,9.5317,12.1587,15.7927,1.292652
